Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
isg,3D,0.353,0.592,4036.470,25.484,13.373,1.677,,,,101.004
ish,3D,0.454,0.501,3427.160,20.646,10.914,1.104,,,,79.367
isi,3D,0.387,0.564,3744.600,23.654,12.708,1.459,,,,83.701
isj,3D,0.302,0.637,4379.800,27.163,14.473,2.107,,,,124.114
ism,3D,0.292,0.647,4472.800,25.834,15.235,2.220,,,,137.723
isn,3D,0.295,0.647,4393.860,27.054,15.012,2.192,,,,129.327
iso,3D,0.292,0.651,4421.910,27.435,15.122,2.225,,,,130.608
isu,3D,0.383,0.565,3769.720,23.353,12.863,1.476,,,,87.09
isx,3D,0.317,0.625,4269.880,26.100,14.802,1.974,,,,118.768
jusa,3D,0.305,0.687,3026.170,37.592,32.821,2.254,,,,68.815
kfi,3D,0.366,0.610,3246.950,33.832,18.577,1.668,,,,76.529
knba,3D,0.347,0.653,2912.680,41.568,16.916,1.880,,,,66.216
kts,3D,0.350,0.626,3178.180,26.932,19.643,1.788,,,,80.046
lcsa,3D,0.230,0.757,3246.130,33.402,26.122,3.295,,,,78.412
lcva,3D,0.149,0.849,2980.720,57.346,47.009,5.704,,,,70.958
lev,3D,0.269,0.682,4164.780,33.972,22.379,2.537,,,,117.941
ltl,3D,0.278,0.678,3979.570,47.691,37.568,2.443,,,,111.198
lxx,3D,0.458,0.496,3466.090,17.464,12.040,1.082,,,,96.82
maz,3D,0.287,0.666,4039.240,37.338,34.592,2.320,,,,113.592
mds,3D,0.442,0.508,3542.760,23.131,13.266,1.150,,,,133.002
med,3D,0.329,0.626,3643.780,29.071,19.745,1.900,,,,91.929
mep,3D,0.300,0.640,4444.020,28.265,15.241,2.134,,,,126.498
mft,3D,0.283,0.688,3628.870,42.672,34.009,2.431,,,,84.185
mgzxd,3D,0.307,0.636,4381.050,32.194,15.123,2.074,,,,119.22
msd,3D,0.374,0.575,3855.940,27.002,12.844,1.538,,,,95.674
mtn,3D,0.449,0.506,3521.260,24.304,11.121,1.128,,,,75.973
nfb,3D,0.485,0.493,2905.430,31.453,10.443,1.016,,,,83.586
nog,3D,0.457,0.499,3406.330,23.424,20.280,1.091,,,,81.855
odf,3D,0.501,0.467,3169.500,#N/A,#N/A,0.931,,,,75.642
odh,3D,0.405,0.533,3848.200,27.085,13.280,1.316,,,,95.571
poz,3D,0.269,0.727,2849.820,54.553,23.981,2.707,,,,74.756
rad,3D,0.245,0.707,4405.810,38.834,35.476,2.881,,,,139.723
rho,3D,0.263,0.699,3861.760,45.669,22.148,2.658,,,,98.759
sdt,3D,0.333,0.603,4323.470,29.410,14.277,1.811,,,,117.124
tdc,3D,0.197,0.791,3164.750,81.214,79.239,4.015,,,,91.121
tdd,3D,0.166,0.827,2986.640,111.210,110.247,4.979,,,,88.545
